baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
L1M5	2.55014327885876	0.107550255489696	1.44221375353942	0.0745730341468114	0.94055442999866	0.979959197309427
L1MA1	0.788947862794713	1.17310413836039	4.8863817556492	0.240076235755455	0.810271156654168	0.979959197309427
L1MA2	2.85270116051951	2.28936915983892	1.58392593590729	1.44537639541052	0.148352189916876	0.979959197309427
L1MA3	4.87607432991447	0.272209682453872	1.2038265267698	0.226120355716272	0.82110781299679	0.979959197309427
L1MA4	2.11238183031811	1.72002881464135	1.73922390936145	0.988963413729086	0.32268104235894	0.979959197309427
L1MA5A	3.51565717413007	0.927832536873005	1.30855581945264	0.709050789488758	0.478292959447864	0.979959197309427
L1MA7	0.737372318400822	-2.9342199590213	4.85625732666587	-0.604214266593619	0.545701197032553	0.979959197309427
L1MB2	1.24901766273314	2.02711549718325	3.36116181763202	0.603099644459062	0.546442402957542	0.979959197309427
L1MB3	1.27185842312951	-0.505504756117839	2.95986511565497	-0.170786416395863	0.864391710293003	0.979959197309427
L1MB5	1.24183407646685	-1.85315178091792	3.12442025022866	-0.593118605213975	0.553101779956382	0.979959197309427
L1MB7	4.64588559777994	2.40169916679704	1.3957753479708	1.72069177915248	0.0853067689393159	0.979959197309427
L1MB8	0.96801097880362	-1.47521719846506	4.39817551584157	-0.335415717983866	0.737311512776769	0.979959197309427
L1MC2	0.987372318400822	-1.50967940380297	3.95830175839527	-0.381395733814648	0.702909626152868	0.979959197309427
L1MC4	3.54197735532561	-0.720284540733812	1.30324846909561	-0.552683972254081	0.58047983028985	0.979959197309427
L1MCa	1.00249708353231	-1.4325521133879	3.90824802239539	-0.366545855119472	0.713957802336599	0.979959197309427
L1ME1	4.82548112278744	-0.0478863826789073	1.18706435542129	-0.0403401740269695	0.967821925589429	0.979959197309427
L1ME2	6.51893043516352	2.48328757148931	1.35788512272686	1.82879061706078	0.0674309811443692	0.979959197309427
L1ME3	1.51316009059777	1.0768917759041	2.25138329471908	0.47832449429206	0.632419265249683	0.979959197309427
L1ME3A	1.29862853259331	2.09143319131972	2.95680821708129	0.707327982666458	0.479362679859325	0.979959197309427
L1ME3Cz	6.93778047237523	4.78385956095846	1.81402732826744	2.63714856243509	0.00836062070466619	0.742809088476156
L1ME4a	2.50597650433147	0.104999779798217	1.47455913413762	0.0712075747708996	0.943232552927235	0.979959197309427
L1ME4c	3.39066668604737	1.30744979432281	1.37433360400799	0.951333643090636	0.341435033702774	0.979959197309427
L1MEd	1.26316009059777	0.669840779292387	2.76999902873964	0.241819860708459	0.808919748941165	0.979959197309427
L1P3	2.22920639486767	-1.70237572389705	1.65779889852832	-1.0268891633408	0.304472657617277	0.979959197309427
L1PA10	8.64173150404455	0.612303651314984	1.15222065696672	0.531411798263452	0.595133447463142	0.979959197309427
L1PA13	2.81277096045794	2.25689865565596	1.5615728337847	1.44527274477876	0.14838129034905	0.979959197309427
L1PA15	3.21657871326849	-1.64452301594476	1.39438928064928	-1.1793858707656	0.238244558729495	0.979959197309427
L1PA16	7.09506764598495	0.72737906234457	1.15719380330479	0.628571515218342	0.529629613546486	0.979959197309427
L1PA17	0.753479420799166	-0.822293418971331	4.88584812815266	-0.168301060000864	0.866346439998016	0.979959197309427
L1PA3	2.31080628592422	0.425177942996133	1.53166585046848	0.277591840848372	0.781325696141892	0.979959197309427
L1PA4	0.987372318400822	-1.50967940380297	3.95830175839527	-0.381395733814648	0.702909626152868	0.979959197309427
L1PA5	5.04197735532561	0.381360697002174	1.18218820201402	0.322588819912492	0.747006661855208	0.979959197309427
L1PA6	1.97376229953478	-2.72335946056874	2.03221290610791	-1.34009554431209	0.180214284495462	0.979959197309427
L1PA7	3.72822405760081	-0.12125727917747	1.28084784318046	-0.0946695423840328	0.924577310949766	0.979959197309427
L1PA8	2.07593105105571	0.146395449374171	1.69572357071404	0.0863321427516199	0.931202387632536	0.979959197309427
L1PB1	2.23018873213453	-0.902676994111744	1.57495268274248	-0.573145469068889	0.566546202902025	0.979959197309427
L1PB3	1.96506396700304	-1.51427302270881	1.79080583809138	-0.845581910947254	0.397786020184924	0.979959197309427
L1PB4	1.00249708353231	-1.4325521133879	3.90824802239539	-0.366545855119472	0.713957802336599	0.979959197309427
L2	2.33855873265489	3.10656302180361	1.93700035734734	1.60380095440868	0.10875793416168	0.979959197309427
L2a	10.3741921361111	-0.117873263094815	1.20476847758544	-0.0978389336107578	0.922060191125697	0.979959197309427
L2b	0.996070650932564	-3.36724164744809	4.66282405326854	-0.722146409339149	0.470204467576286	0.979959197309427
L2c	14.145293405574	0.194889862763882	1.36479222950897	0.142798191951899	0.88644956506133	0.979959197309427
L3	2.75499416706461	-0.162299584610465	1.38996518862401	-0.116765215372864	0.907046109255465	0.979959197309427
L4_A_Mam	0.5	2.48332401258221	4.89702350093993	0.507108861557549	0.612078437605834	0.979959197309427
LTR108a_Mam	0.47867398586908	-2.31422237938004	4.83669499934117	-0.478471844864164	0.632314408950444	0.979959197309427
LTR14B	3.46559637600163	-1.78377956492744	1.37635407915984	-1.29601793022352	0.194969307618426	0.979959197309427
LTR16A	1.8137532977248	2.6923665473458	2.11292701827736	1.27423546769772	0.202579978960359	0.979959197309427
LTR16A1	2.07789572558943	1.71725012371228	1.76226076058993	0.974458583040468	0.329828893932288	0.979959197309427
LTR16C	1.31277096045794	0.743812485569392	2.85381335128621	0.260638098575772	0.794371606440499	0.979959197309427
LTR1C3	1.02480543493009	3.51443359188365	4.11261386608189	0.854549857176811	0.392800397017352	0.979959197309427
LTR1D1	1.21801097880362	-0.513144624181866	3.35642536515947	-0.152884264762278	0.878489544925443	0.979959197309427
LTR29	0.47867398586908	-2.31422237938004	4.83669499934117	-0.478471844864164	0.632314408950444	0.979959197309427
LTR33C	0.5	2.48332401258221	4.89702350093993	0.507108861557549	0.612078437605834	0.979959197309427
LTR41B	2.02730251846239	0.836097770452664	1.63876908164581	0.510198648373921	0.609912299021251	0.979959197309427
LTR48	0.987372318400822	-1.50967940380297	3.95830175839527	-0.381395733814648	0.702909626152868	0.979959197309427
LTR49-int	0.727691648602221	-2.91634537943776	4.85714218699354	-0.600424131549444	0.548223609337074	0.979959197309427
LTR7	0.772840760396369	-0.874294758294029	4.88200763901528	-0.179085086083638	0.857870892277822	0.979959197309427
LTR78B	0.799610869860173	3.15263721951635	4.81206237262057	0.655153024917978	0.512369235317741	0.979959197309427
LTR8	0.753479420799166	-0.822293418971331	4.88584812815266	-0.168301060000864	0.866346439998016	0.979959197309427
LTR85c	2.5491609415919	-0.46951634528571	1.47559888866492	-0.318186974043139	0.750343112929037	0.979959197309427
MER11C	0.549610869860173	2.60739166374833	4.8878697126792	0.533441318410088	0.593728122047512	0.979959197309427
MER1A	0.737372318400822	-2.9342199590213	4.85625732666587	-0.604214266593619	0.545701197032553	0.979959197309427
MER20	4.57298403925513	0.733982837556936	1.22333592157852	0.599984701348303	0.548516431321215	0.979959197309427
MER20B	1.07441630479026	3.57775953976597	3.91952415510967	0.912804564580075	0.361345337222651	0.979959197309427
MER21A	0.996070650932564	-3.36724164744809	4.66282405326854	-0.722146409339149	0.470204467576286	0.979959197309427
MER3	0.73933699293454	1.0490398035399	4.89553803697151	0.214284884647503	0.830324904586553	0.979959197309427
MER33	2.05014327885876	-0.599665469126862	1.70352004553951	-0.352015505010948	0.72482663446125	0.979959197309427
MER41A	0.498035325466282	-2.36615701334029	4.8903890666233	-0.483838193874841	0.628500706687335	0.979959197309427
MER41B	5.61911548831614	1.82141224904571	1.8111076521845	1.00568966557497	0.314564875965324	0.979959197309427
MER41E	0.774805434930087	3.11003625760881	4.85484083141465	0.64060519502193	0.521779223468702	0.979959197309427
MER45B	0.47867398586908	-2.31422237938004	4.83669499934117	-0.478471844864164	0.632314408950444	0.979959197309427
MER4CL34	1.25249708353231	-0.474044919465512	2.79611447747267	-0.169537021207368	0.86537425509522	0.979959197309427
MER4D1	1.2257269740685	-3.66749092398963	3.3231551238195	-1.10361713111194	0.269759256719062	0.979959197309427
MER51-int	1.01217775333091	-1.45002427878076	3.87656527465892	-0.374048719947928	0.708368069418029	0.979959197309427
MER58A	2.7530294925309	-1.30236280989635	1.45440485193081	-0.895460990911422	0.370540709678296	0.979959197309427
MER58B	1.04764619532646	0.137328814678496	4.02854199332356	0.0340889619386092	0.972806210467753	0.979959197309427
MER5A	2.02632018119554	0.102783207721558	1.60733488664958	0.0639463552836863	0.94901294160422	0.979959197309427
MER5A1	3.0394802717933	0.102798022362152	1.32142855781625	0.077793098805154	0.937992636169541	0.979959197309427
MER5B	1.82146929298968	0.523717790684973	1.87571853343595	0.279209157103984	0.780084316629695	0.979959197309427
MER68	0.737372318400822	-2.9342199590213	4.85625732666587	-0.604214266593619	0.545701197032553	0.979959197309427
MER83	0.976709311335362	-3.34035058593318	4.27293777071012	-0.781745666606805	0.434364057993746	0.979959197309427
MIR	9.96295702853168	-0.80353551545869	1.19590123995645	-0.671907920664046	0.501642317621449	0.979959197309427
MIR3	3.03501851372728	0.55895051112005	1.37366202820317	0.406905410242132	0.684077462195678	0.979959197309427
MIRb	8.28782326159021	-0.509454606196305	1.15428360495251	-0.441359995074404	0.658952398965136	0.979959197309427
MIRc	2.55558737419165	0.139355818912707	1.49588024422039	0.0931597428678763	0.925776655793827	0.979959197309427
MLT1A0	2.75923074153033	-0.198007387209564	1.44919907830098	-0.136632288947979	0.891321452948697	0.979959197309427
MLT1B	4.29197735532561	-0.0648916643069487	1.19962268471237	-0.0540933954766849	0.956860754191328	0.979959197309427
MLT1C	4.94230568733699	-1.50656558156155	1.26022138804403	-1.1954769184642	0.231900749037858	0.979959197309427
MLT1D	1.02480543493009	3.51443359188365	4.11261386608189	0.854549857176811	0.392800397017352	0.979959197309427
MLT1F2	1.28796552552785	0.706505857561855	2.71240144119509	0.260472453240759	0.794499361276943	0.979959197309427
MLT1G1	1.5734339675234	2.42816492849269	2.40216748937796	1.01082249228236	0.312101395858694	0.979959197309427
MLT1H	0.73933699293454	1.0490398035399	4.89553803697151	0.214284884647503	0.830324904586553	0.979959197309427
MLT1H2	0.737372318400822	-2.9342199590213	4.85625732666587	-0.604214266593619	0.545701197032553	0.979959197309427
MLT1I	0.498035325466282	-2.36615701334029	4.8903890666233	-0.483838193874841	0.628500706687335	0.979959197309427
MLT1J2	1.78796552552785	1.41547447095472	1.85804901409894	0.761806852356452	0.446175290058983	0.979959197309427
MSTA	4.92490902227351	-0.813605476376563	1.25901922235842	-0.6462216477144	0.518135821934053	0.979959197309427
MSTA-int	0.498035325466282	-2.36615701334029	4.8903890666233	-0.483838193874841	0.628500706687335	0.979959197309427
MSTB	0.737372318400822	-2.9342199590213	4.85625732666587	-0.604214266593619	0.545701197032553	0.979959197309427
MSTB1	1.21702864153676	-1.9015574293722	3.19558628765341	-0.595057450558955	0.551805069205555	0.979959197309427
MamRTE1	0.749017662733141	1.02015495547449	4.89345210205065	0.208473473163655	0.834859292958876	0.979959197309427
THE1A	1.03894786279471	1.71657786200919	3.78955894811415	0.452975632655995	0.650566288003076	0.979959197309427
THE1B	2.00053240899859	-0.650371908398022	1.64816995356207	-0.394602454068781	0.693136302129273	0.979959197309427
THE1C	1.27730251846239	-0.422071803941892	2.91671680471209	-0.144707845225157	0.88494154476798	0.979959197309427
Tigger2a	1.02480543493009	3.51443359188365	4.11261386608189	0.854549857176811	0.392800397017352	0.979959197309427
Tigger3	1.48117106940139	-2.18202670874997	2.58892837501888	-0.842830079736779	0.39932348257737	0.979959197309427
Tigger3c	1.96506396700304	-1.51427302270881	1.79080583809138	-0.845581910947254	0.397786020184924	0.979959197309427
